lon,lat
496959.1763046974,5024365.632266902
490597.5515381022,5080400.984918641
554270.2970992638,5001059.911039677
536737.0996322309,5016051.0860540755
483462.9904195786,5066519.800399272
623807.3076038501,5013120.260283351
555054.8897853735,5040807.5830697045
594137.5412029896,5020248.807358012
578521.3730785225,5027574.862827963
608430.7866749848,5025748.848016835
552024.7561300253,5062236.921718705
509051.48542016523,5021024.633323431
601108.27937527,5146114.817274372
516014.65180825687,5071012.024901603
522757.6432107041,4985080.460413448
487692.3205409275,5050314.914557283
657673.3371030951,4986176.788158616
530601.065823319,5093957.270155773
595642.1629924538,5043164.580741158
587272.0208956434,5045399.296898095
598890.0832678756,5038219.661864468
520169.09807686956,5057588.693390984
483815.6305839894,5041975.051210693
511629.5056085997,4985810.492235323
491486.85933438956,5054439.662507414
530233.4738164842,5042967.87136812
513861.15202900587,5013132.787291804
530826.1937389643,5131262.385719204
511048.01658571535,5079398.916493075
506459.218031476,5029987.151173195
529698.3962190141,5000490.303042275
554103.5580975454,5024772.974813581
582436.7500040489,5003574.245371767
549769.238522446,5053287.735508462
512511.53755948285,5050835.129714522
520156.31845820206,5042352.156425992
515642.8276803417,5044200.042338585
571442.3613590193,5063064.36469492
485089.6182156654,5057363.413925266
509119.7614145522,5046240.514730804
624780.7280971439,5052455.960806573
485082.0322018892,4997239.027494395
540312.7287278922,5060350.340886243
475208.81936569617,5080439.330883083
494371.5987959312,5046457.7397861965
481793.75239055825,5093570.803159328
528739.238201526,5074129.40316494
492604.0393775485,5035321.352634739
515021.1613158585,5102966.340649702
535150.2239188205,5038229.107046856
513517.7017221193,5035004.645397854
572052.8043774298,5049601.465262135
522210.26156628673,5047477.383556904
545947.9526580751,5111263.931954857
472633.66941440885,5011013.305649426
641831.0919596844,5002049.71237197
529419.3911923573,5061932.173711376
575008.7584044784,5040790.056637789
616374.6886140356,4988690.026513544
526618.7298587146,5030130.616245135
506959.1937219328,5002288.842453726
524503.5989971324,5036967.171912311
502812.8449319508,5041126.539532708
514995.5825404322,5023846.649520445
523388.331189955,5023719.428173833
500392.3548768225,5051933.7581154825
583739.1077147744,5058943.824257718
511344.81615223346,5056750.669827592
472316.56651994644,5068432.088310974
478343.4049803519,5054880.946191035
567416.7906459838,5117219.459828363
499361.0644986046,5065127.133357698
590461.2065027101,5121162.595626361
491819.392615431,5064480.581353903
538619.4797115361,5048293.093587577
551074.1005774838,5083994.42908537
611344.4306844488,5063543.296323441
573837.1281194255,5085473.952901684
603876.7634402642,5102703.159482607
484520.24598697387,5074537.158647041
487859.11750944797,5017123.519017613
530293.9783526178,5051924.806810602
510982.6736382996,4969666.050655951
597903.9049753821,5063245.820770918
461366.31277374335,4941089.934492696
467271.80452696414,4971823.131704394
449834.1795005296,4995622.004599095
493908.3382231739,4957591.639297643
436599.4314516803,4968577.700326571
424729.28892626974,5044158.0504490845
435032.2651398187,5050895.425106075
395935.17029234086,4991772.708860116
395796.63123324164,4941811.9937499715
364804.3101242962,4945722.18423948
413570.98589175515,4908941.896450931
365824.8003037593,4912828.217109444
426114.8726834202,4945770.160633119
408408.41534069844,4950513.525990746
463524.3260799226,5057042.286651935
468604.1608714619,5032369.2140936535
469940.805692647,5031855.83482903
384835.99933955655,4991599.611004891
384143.379490578,5000123.469709162
382018.6514524978,4983585.622337215
358664.5860859007,4973063.450896472
346183.59076831775,4992628.837458829
419226.9243963491,5003357.917941773
373774.4548274156,5014759.415086555
383777.7910903298,5031758.466693298
410188.998771605,5031353.83859003
402902.60549729504,5004436.834287144
395732.9347450064,4970232.414726136
410949.92815942975,4982236.409351964
397895.504370759,4981537.839102104
389045.93596001045,4979609.232669521
439050.8004038277,5045848.856629421
449388.20367903553,5103197.542593255
